,bayesian,evolutionary,grimtrigger,metalearner,minimax,nash,predator,switcher,titfortat,zerosum
bayesian,,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
evolutionary,-1.0,,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
grimtrigger,-1.0,-1.0,,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
metalearner,-1.0,-1.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0
minimax,-1.0,-1.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0
nash,-1.0,-1.0,1.0,0.0,0.0,,-1.0,0.0,0.0,0.0
predator,1.0,1.0,0.0,-1.0,-1.0,1.0,,-1.0,-1.0,1.0
switcher,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0
titfortat,-1.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,,-1.0
zerosum,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,
